"","alt","temp2m","humidity","precip","atm","wind","m.fapar","classes[cv.train, rotulo]"
"117",0.412644389344943,0.778588807785888,0.1703428115865,0.0625978090766823,0.933333333333333,0.310868122673899,0.213812347401465,"0"
"118",0.49088209914199,0.712084347120843,0.246080255115599,0.0688575899843506,0.933333333333333,0.298519950376504,0.193930938262993,"0"
"119",0.477479582257491,0.596918085969181,0.519000797236247,0.181533646322379,0.933333333333333,0.2938461094602,0.354377397976979,"1"
"120",0.405246266291101,0.660178426601784,0.572681371246346,0.244131455399061,0.933333333333333,0.301837800409682,0.413934426229508,"0"
"121",0.130868662386774,0.761557177615572,0.609619984055275,0.363067292644757,0.933333333333333,0.305588413490667,0.559121032438089,"0"
"122",0.0168986853261322,0.845093268450933,0.628487908583577,0.433489827856025,0.933333333333333,0.304924843484031,0.439309382629927,"1"
"123",0.0962364053179526,0.787510137875101,0.84666489503056,0.624413145539906,0.933333333333333,0.0701653154842618,0.922828740844088,"0"
"125",0.146470842978647,0.844282238442822,0.580653733723093,0.541471048513302,0.933333333333333,0.214535068232307,0.538978025810952,"0"
"126",0.245454455715476,0.845093268450933,0.453095934095137,0.525821596244131,0.933333333333333,0.225382995297308,0.529037321241716,"0"
"127",0.248390515222797,0.895377128953771,0.0935423863938346,0.165884194053208,0.933333333333333,0.231759037534982,0.480641785838856,"0"
"128",0.421171828114501,0.873479318734793,0.0757374435290992,0.0344287949921753,0.933333333333333,0.289056865064482,0.218869898848971,"0"
"130",0.292611907218172,0.888888888888889,0.080786606431039,0.0109546165884194,0.933333333333333,0.308992816133406,0.0510115102895012,"0"
"132",0.297905991198542,0.832116788321168,0.149348923731066,0.0312989045383412,0.933333333333333,0.325033899772078,0.113184513428671,"0"
"133",0.391700258785779,0.781832927818329,0.206484188147754,0.0359937402190924,0.933333333333333,0.321773751478607,0.187216602720614,"0"
"134",0.52914582210266,0.714517437145174,0.293117193728408,0.0610328638497653,0.933333333333333,0.308560053085601,0.247035228461807,"0"
"135",0.622957954679323,0.637469586374696,0.423066702099389,0.128325508607199,0.933333333333333,0.292807478145466,0.202127659574468,"0"
"136",0.540125692203601,0.574209245742093,0.598458676587829,0.256651017214397,0.933333333333333,0.289056865064482,0.343215905127311,"0"
"138",0.0393190049604049,0.785888077858881,0.624235981929312,0.392801251956181,0.933333333333333,0.294221170768299,0.613271712591559,"0"
"139",0.162384334553982,0.884833738848337,0.503587563114536,0.528951486697966,0.92037037037037,0.199590317648077,0.564614579700035,"0"
"140",0.170472044638416,0.844282238442822,0.438745681636992,0.517996870109546,0.92037037037037,0.2311243183982,0.499476805022672,"1"
"141",0.408990677859677,0.852392538523925,0.0781291522721232,0.118935837245696,0.92037037037037,0.24459767461989,0.519881409138472,"0"
"142",0.413885237326987,0.847526358475263,0.0868987509965452,0.0829420970266041,0.92037037037037,0.250165892501659,0.40809208231601,"1"
"143",0.338689673644088,0.877534468775345,0.0738772256178581,0.00625978090766824,0.92037037037037,0.29600992469923,0.135507499128008,"1"
"145",0.286736311690402,0.820762368207624,0.205952697315971,0.0297339593114241,0.92037037037037,0.320908225382995,0.180153470526683,"0"
"146",0.303854123918747,0.803730738037307,0.257507307998937,0.0359937402190924,0.92037037037037,0.320360058855775,0.206226020230206,"0"
"147",0.279300523924778,0.759124087591241,0.339622641509434,0.0719874804381847,0.92037037037037,0.309367877441505,0.188960585978375,"1"
"148",0.370950338522708,0.693430656934306,0.466914695721499,0.164319248826291,0.92037037037037,0.292518969446929,0.366062085803976,"0"
"149",0.257212294974623,0.641524736415247,0.619452564443263,0.316118935837246,0.92037037037037,0.281036323245146,0.576124869201256,"0"
"150",0.0690958415865309,0.745336577453366,0.622907254849854,0.358372456964006,0.92037037037037,0.281584489772367,0.609783746076038,"1"
"151",0.0197850975576418,0.825628548256285,0.62742492692001,0.381846635367762,0.92037037037037,0.282882778915784,0.623648412975236,"0"
"152",0.136430152801562,0.763179237631792,0.845336167951103,0.608763693270736,0.92037037037037,0.0326591846744179,0.897017788629229,"1"
"153",0.131393422679929,0.776155717761557,0.839489768801488,0.63849765258216,0.92037037037037,0,0.952825252877572,"0"
"154",0.206934616303527,0.775344687753447,0.773053414828594,0.646322378716745,0.92037037037037,0.244655376359597,0.97244506452738,"0"
"155",0.189105111618146,0.765612327656123,0.775445123571618,0.687010954616588,0.92037037037037,0.26643778309916,1,"1"
"156",0.229776184021194,0.769667477696675,0.731331384533617,0.735524256651017,0.92037037037037,0.305646115230374,0.820195326124869,"1"
"157",0.222734345419043,0.760746147607461,0.689875099654531,0.71830985915493,0.92037037037037,0.248492542050143,0.911667247994419,"1"
"158",0.237239040748543,0.737226277372263,0.709008769598724,0.712050078247261,0.92037037037037,0.241972245463201,0.791942797349145,"1"
"159",0.359148239557364,0.861313868613139,0.14004783417486,0.226917057902973,0.92037037037037,0.23871209716973,0.304848273456575,"1"
"160",0.394295409856025,0.872668288726683,0.0741429710337496,0.07981220657277,0.92037037037037,0.240789359799198,0.379839553540286,"1"
"161",0.338118346982515,0.904298459042985,0.0938081318097263,0.0453834115805947,0.92037037037037,0.252070049912005,0.15364492500872,"1"
"162",0.337671717020398,0.876723438767234,0.0903534414031358,0.0281690140845071,0.92037037037037,0.26395660829174,0.170387164283223,"0"
"163",0.360570422498839,0.801297648012976,0.154132341217114,0.00625978090766824,0.92037037037037,0.307579123510574,0.113969305894663,"1"
"164",0.144366462720829,0.806974858069748,0.3154398086633,0.054773082942097,0.92037037037037,0.314849542713713,0.239972096267876,"1"
"165",0.110904961634972,0.801297648012976,0.379218708477279,0.101721439749609,0.92037037037037,0.307261763942183,0.308423439134984,"0"
"166",0.198930143748511,0.770478507704785,0.479670475684295,0.194053208137715,0.92037037037037,0.291307232913072,0.346442274154168,"1"
"167",0.12452030677681,0.750202757502027,0.589954823279298,0.312989045383412,0.92037037037037,0.275468105363377,0.514823857690966,"0"
"168",0.0356578255853053,0.815085158150851,0.617060855700239,0.325508607198748,0.92037037037037,0.274544877528057,0.512905476107429,"1"
"169",0.136530176505993,0.801297648012976,0.745681636991762,0.618153364632238,0.9,0.116211303770809,0.78950122078828,"0"
